bank_txn_id,value_date,credit_amount,description
BANK-0001,2026-07-14,8139.96,RZPY*ORD-7034 SETTL
BANK-0002,2026-07-16,7203.72,RZPYORD-70/CR
BANK-0003,2026-07-03,6122.20,RZPY*ORD-7011 NEFT CR
BANK-0004,2026-07-03,8439.15,RZPYord-7046/CR
BANK-0005,2026-07-25,26410.98,RZPY*ORD-7017 NEFT CR
BANK-0006,2026-07-19,12798.69,IMPS CR FROM VENDOR REFUND
BANK-0007,2026-07-05,19115.00,RZPY*ORD-7007 NEFT CR
BANK-0008,2026-07-20,9665.99,RZPY*ORD-7035 SETTL
BANK-0009,2026-07-15,28802.10,RZPY*ORD-7005 NEFT CR
BANK-0010,2026-07-19,15743.18,RZPY*ORD-7038 SETTL T+3
BANK-0011,2026-07-28,33483.76,RZPY*ORD-7010 NEFT CR
BANK-0012,2026-07-17,30060.22,RZPY*ORD-7003 NEFT CR
BANK-0013,2026-07-28,37125.99,RZPY*ORD-7026 SETTL
BANK-0014,2026-07-21,773.02,RZPY*ORD-7022 NEFT CR
BANK-0015,2026-07-14,1736.75,RZPY SETTLEMENT CREDIT
BANK-0016,2026-07-20,29753.08,RZPY*ORD-7042 SETTL T+1
BANK-0017,2026-07-24,23722.01,RZPY*ORD-7043 SETTL T+1
BANK-0018,2026-07-15,24508.54,RZPY*ORD-7044 SETTL T+1
BANK-0019,2026-07-09,31279.61,RZPY*ORD-7033 SETTL
BANK-0020,2026-07-05,19651.16,RZPY*ORD-7021 NEFT CR
BANK-0021,2026-07-03,38522.10,RZPY*ORD-7031 SETTL
BANK-0022,2026-07-01,6405.59,RZPY SETTLEMENT CREDIT
BANK-0023,2026-07-14,34248.94,RZPY*ORD-7024 NEFT CR
BANK-0024,2026-07-06,19377.15,RZPY*ORD-7028 SETTL
BANK-0025,2026-07-01,17074.54,NEFT CR ACME SUPPLIES PVT LTD
BANK-0026,2026-07-15,42381.36,RZPY*ORD-7030 SETTL
BANK-0027,2026-07-12,39349.18,RZPY*ORD-7023 NEFT CR
BANK-0028,2026-07-14,1736.75,RZPY SETTLEMENT CREDIT
BANK-0029,2026-07-18,16977.09,RZPY*ORD-7013 NEFT CR
BANK-0030,2026-07-16,84248.75,RZPY PAYOUT BATCH-2 3 TXNS
BANK-0031,2026-07-13,33991.94,RZPY*ORD-7019 NEFT CR
BANK-0032,2026-07-12,36651.27,RZPY*ORD-7037 SETTL T+1
BANK-0033,2026-07-23,46437.36,RZPYORD7050/CR
BANK-0034,2026-07-16,30754.96,RZPY*ORD-7001 NEFT CR
BANK-0035,2026-07-27,31690.05,RZPY*ORD-7039 SETTL T+3
BANK-0036,2026-07-02,37072.04,RZPY*ORD-7002 NEFT CR
BANK-0037,2026-07-13,14911.02,RZPY*ORD-7004 NEFT CR
BANK-0038,2026-07-01,6405.59,RZPY SETTLEMENT CREDIT
BANK-0039,2026-07-08,9751.74,RZPY*ORD-7036 SETTL
BANK-0040,2026-07-16,25836.44,RZPY*ORD-7008 NEFT CR
BANK-0041,2026-07-04,13423.23,INT.CREDIT SAVINGS A/C
BANK-0042,2026-07-03,14234.05,RZPY*ORD-7012 NEFT CR
BANK-0043,2026-07-18,25368.19,RZPY*ORD-7041 SETTL T+2
BANK-0044,2026-07-11,11611.64,RZPY*ORD-7014 NEFT CR
BANK-0045,2026-07-04,24976.00,RZPY*ORD-7025 SETTL
BANK-0046,2026-07-19,829.61,RZPY*ORD-7006 NEFT CR
BANK-0047,2026-07-06,36413.79,RZPY*ORD-7027 SETTL
BANK-0048,2026-07-14,18488.91,RZPY*ORD-7015 NEFT CR
BANK-0049,2026-07-16,28799.70,RZPYORD7045/CR
BANK-0050,2026-07-19,11023.42,RZPY*ORD-7029 SETTL
BANK-0051,2026-07-03,68653.11,RZPY PAYOUT BATCH-1 3 TXNS
BANK-0052,2026-07-17,34509.01,RZPY*ORD-7016 NEFT CR
BANK-0053,2026-07-16,32885.33,RZPY*ORD-7020 NEFT CR
BANK-0054,2026-07-11,13910.49,RZPYord-7047/CR
BANK-0055,2026-07-15,11273.57,RZPY*ORD-7040 SETTL T+3
BANK-0056,2026-07-04,20407.27,RZPY*ORD-7009 NEFT CR
BANK-0057,2026-07-05,17888.54,RZPY*ORD-7032 SETTL
BANK-0058,2026-07-28,30289.58,RZPY*ORD-7018 NEFT CR
BANK-0059,2026-07-06,17589.99,RZPYord-7048/CR
