settlement_id,bank_txn_id,category
SETL-0001,BANK-0034,CLEAN
SETL-0002,BANK-0036,CLEAN
SETL-0003,BANK-0012,CLEAN
SETL-0004,BANK-0037,CLEAN
SETL-0005,BANK-0009,CLEAN
SETL-0006,BANK-0046,CLEAN
SETL-0007,BANK-0007,CLEAN
SETL-0008,BANK-0040,CLEAN
SETL-0009,BANK-0056,CLEAN
SETL-0010,BANK-0011,CLEAN
SETL-0011,BANK-0003,CLEAN
SETL-0012,BANK-0042,CLEAN
SETL-0013,BANK-0029,CLEAN
SETL-0014,BANK-0044,CLEAN
SETL-0015,BANK-0048,CLEAN
SETL-0016,BANK-0052,CLEAN
SETL-0017,BANK-0005,CLEAN
SETL-0018,BANK-0058,CLEAN
SETL-0019,BANK-0031,CLEAN
SETL-0020,BANK-0053,CLEAN
SETL-0021,BANK-0020,CLEAN
SETL-0022,BANK-0014,CLEAN
SETL-0023,BANK-0027,CLEAN
SETL-0024,BANK-0023,CLEAN
SETL-0025,BANK-0045,FEE
SETL-0026,BANK-0013,FEE
SETL-0027,BANK-0047,FEE
SETL-0028,BANK-0024,FEE
SETL-0029,BANK-0050,FEE
SETL-0030,BANK-0026,FEE
SETL-0031,BANK-0021,FEE
SETL-0032,BANK-0057,FEE
SETL-0033,BANK-0019,FEE
SETL-0034,BANK-0001,FEE
SETL-0035,BANK-0008,FEE
SETL-0036,BANK-0039,FEE
SETL-0037,BANK-0032,LAG
SETL-0038,BANK-0010,LAG
SETL-0039,BANK-0035,LAG
SETL-0040,BANK-0055,LAG
SETL-0041,BANK-0043,LAG
SETL-0042,BANK-0016,LAG
SETL-0043,BANK-0017,LAG
SETL-0044,BANK-0018,LAG
SETL-0045,BANK-0049,GARBLED
SETL-0046,BANK-0004,GARBLED
SETL-0047,BANK-0054,GARBLED
SETL-0048,BANK-0059,GARBLED
SETL-0049,BANK-0002,GARBLED
SETL-0050,BANK-0033,GARBLED
SETL-0051,BANK-0051,BATCH
SETL-0052,BANK-0051,BATCH
SETL-0053,BANK-0051,BATCH
SETL-0054,BANK-0030,BATCH
SETL-0055,BANK-0030,BATCH
SETL-0056,BANK-0030,BATCH
SETL-0057,BANK-0022,AMBIGUOUS
SETL-0058,BANK-0038,AMBIGUOUS
SETL-0059,BANK-0015,AMBIGUOUS
SETL-0060,BANK-0028,AMBIGUOUS
SETL-0061,,MISSING
SETL-0062,,MISSING
SETL-0063,,MISSING
SETL-0064,,MISSING
